date,capacity,turnover,open,high,low,close,change,transaction
2019-10-02 00:00:00,22000,405000,18.15,18.2,18.1,18.2,0.1,16
2019-10-03 00:00:00,31000,558000,18.05,18.2,17.9,18.2,0,15
2019-10-04 00:00:00,18000,321000,18.2,18.2,18.1,18.2,0,12
2019-10-07 00:00:00,79000,1430000,18.05,18.05,17.95,18,-0.2,41
2019-10-08 00:00:00,17000,308000,18,18.15,18,18.15,0.15,17
2019-10-09 00:00:00,10000,184000,18.1,18.15,18.1,18.15,0,9
2019-10-14 00:00:00,32000,578000,18.15,18.3,18.15,18.15,0,28
2019-10-15 00:00:00,20000,363000,18.2,18.2,18.05,18.15,0,18
2019-10-16 00:00:00,44000,797000,18.3,18.55,18.15,18.15,0,32
2019-10-17 00:00:00,12000,221000,18.15,18.2,18,18.15,0,15
2019-10-18 00:00:00,11000,192000,18.05,18.25,18.05,18.2,0.05,14
2019-10-21 00:00:00,91000,1661000,18.45,18.45,18.2,18.3,0.1,43
2019-10-22 00:00:00,28000,508000,18.35,18.35,18.25,18.35,0.05,25
2019-10-23 00:00:00,27000,497000,18.35,18.5,18.3,18.35,0,21
2019-10-24 00:00:00,16000,292000,18.45,18.45,18.35,18.35,0,16
2019-10-25 00:00:00,27000,497000,18.4,18.45,18.35,18.4,0.05,24
2019-10-28 00:00:00,29000,537000,18.4,18.45,18.3,18.3,-0.1,26
2019-10-29 00:00:00,9000,168000,18.3,18.35,18.25,18.35,0.05,9
2019-10-30 00:00:00,12000,220000,18.3,18.35,18.3,18.3,-0.05,15
2019-10-31 00:00:00,22000,407000,18.3,18.35,18.2,18.35,0.05,16
2019-11-01 00:00:00,19000,349000,18.35,18.4,18.25,18.4,0.05,11
2019-11-04 00:00:00,34000,630000,18.4,18.4,18.25,18.35,-0.05,24
2019-11-05 00:00:00,31000,572000,18.35,18.4,18.3,18.35,0,20
2019-11-06 00:00:00,54000,988000,18.25,18.4,18.25,18.3,-0.05,37
2019-11-07 00:00:00,25000,456000,18.35,18.4,18.3,18.35,0.05,22
2019-11-08 00:00:00,29000,532000,18.3,18.45,18.25,18.45,0.1,13
2019-11-11 00:00:00,43000,787000,18.4,18.4,18.1,18.35,-0.1,26
2019-11-12 00:00:00,12000,224000,18.2,18.4,18.2,18.4,0.05,10
2019-11-13 00:00:00,32000,582000,18.35,18.45,18.35,18.4,0,18
2019-11-14 00:00:00,44000,807000,18.4,18.5,18.15,18.25,-0.15,26
2019-11-15 00:00:00,16000,288000,18.2,18.3,18.2,18.25,0,18
2019-11-18 00:00:00,66000,1236000,18.3,19.4,18.3,18.5,0.25,46
2019-11-19 00:00:00,56000,1042000,18.65,18.7,18.5,18.5,0,26
2019-11-20 00:00:00,79000,1462000,18.55,18.55,18.4,18.55,0.05,35
2019-11-21 00:00:00,34000,632000,18.5,18.55,18.5,18.55,0,20
2019-11-22 00:00:00,33000,618000,18.55,18.65,18.55,18.6,0.05,25
2019-11-25 00:00:00,40000,750000,18.65,18.85,18.6,18.7,0.1,29
2019-11-26 00:00:00,36000,682000,18.7,18.8,18.7,18.75,0.05,32
2019-11-27 00:00:00,24000,460000,18.75,18.85,18.7,18.85,0.1,25
2019-11-28 00:00:00,73000,1384000,18.95,19,18.85,18.95,0.1,32
2019-11-29 00:00:00,23000,428000,18.95,18.95,18.5,18.7,-0.25,21
2019-12-02 00:00:00,10000,189000,18.6,18.6,18.55,18.6,-0.1,9
2019-12-03 00:00:00,32000,598000,18.55,18.55,18.55,18.55,-0.05,15
2019-12-04 00:00:00,16000,300000,18.55,18.65,18.55,18.65,0.1,13
2019-12-05 00:00:00,17000,322000,18.65,18.75,18.65,18.75,0.1,11
2019-12-06 00:00:00,15000,280000,18.75,18.75,18.55,18.7,-0.05,12
2019-12-09 00:00:00,36000,673000,18.6,18.6,18.5,18.6,-0.1,23
2019-12-10 00:00:00,19000,353000,18.55,18.6,18.5,18.6,0,11
2019-12-11 00:00:00,50000,917000,18.5,18.65,18.5,18.5,-0.1,24
2019-12-12 00:00:00,57000,1036000,18.4,18.45,18.25,18.3,-0.2,42
2019-12-13 00:00:00,12000,213000,18.25,18.4,18.25,18.4,0.1,15
2019-12-16 00:00:00,29000,522000,18.3,18.4,18.2,18.4,0,24
2019-12-17 00:00:00,34000,633000,18.3,18.5,18.3,18.45,0.05,19
2019-12-18 00:00:00,12000,229000,18.35,18.4,18.35,18.35,-0.1,15
2019-12-19 00:00:00,5000,99000,18.35,18.4,18.35,18.4,0.05,7
2019-12-20 00:00:00,21000,391000,18.35,18.45,18.3,18.35,-0.05,16
2019-12-23 00:00:00,2000,40000,18.4,18.4,18.4,18.4,0.05,3
2019-12-24 00:00:00,6000,115000,18.35,18.35,18.3,18.3,-0.1,8
2019-12-25 00:00:00,32000,590000,18.35,18.4,18.3,18.4,0.1,22
2019-12-26 00:00:00,16000,291000,18.4,18.4,18.3,18.4,0,15
2019-12-27 00:00:00,12000,224000,18.4,18.4,18.4,18.4,0,9
2019-12-30 00:00:00,43000,788000,18.5,18.55,18.4,18.45,0.05,27
2019-12-31 00:00:00,4000,78000,18.4,18.5,18.4,18.5,0.05,8
2020-01-02 00:00:00,17000,313000,18.4,18.45,18.4,18.45,-0.05,10
2020-01-03 00:00:00,71000,1307000,18.3,18.55,18.3,18.4,-0.05,30
2020-01-06 00:00:00,29000,532000,18.45,18.45,18.3,18.4,0,19
2020-01-07 00:00:00,30000,542000,18.35,18.35,18.3,18.3,-0.1,18
2020-01-08 00:00:00,29000,533000,18.3,18.3,18.2,18.3,0,20
2020-01-09 00:00:00,17000,304000,18.3,18.3,18.25,18.25,-0.05,15
2020-01-10 00:00:00,3000,55000,18.4,18.4,18.35,18.35,0.1,3
2020-01-13 00:00:00,7000,120000,18.45,18.45,18.25,18.4,0.05,8
2020-01-14 00:00:00,38000,696000,18.3,18.45,18.25,18.4,0,19
2020-01-15 00:00:00,16000,299000,18.4,18.4,18.25,18.35,-0.05,13
2020-01-16 00:00:00,17000,312000,18.35,18.4,18.3,18.4,0.05,10
2020-01-17 00:00:00,1000,19000,18.4,18.4,18.4,18.4,0,2
2020-01-20 00:00:00,1450000,28547000,18.65,20.2,18.55,19.25,0.85,616
2020-01-30 00:00:00,615000,13003000,21.15,21.15,21.15,21.15,1.9,272
2020-01-31 00:00:00,10085000,233408000,23.25,23.25,22.65,23.25,2.1,4363
2020-02-03 00:00:00,2583000,56346000,23.25,23.3,20.95,20.95,-2.3,1288
2020-02-04 00:00:00,4414000,83565000,18.9,19.1,18.9,18.95,-2,1837
2020-02-05 00:00:00,1173000,22054000,19.1,19.25,18.5,18.55,-0.4,613
2020-02-06 00:00:00,480000,9016000,18.65,18.95,18.65,18.85,0.3,254
2020-02-07 00:00:00,350000,6526000,18.85,18.85,18.5,18.6,-0.25,182
2020-02-10 00:00:00,207000,3813000,18.55,18.6,18.25,18.45,-0.15,134
2020-02-11 00:00:00,117000,2166000,18.45,18.65,18.35,18.45,0,76
2020-02-12 00:00:00,167000,3086000,18.5,18.6,18.4,18.45,0,92
2020-02-13 00:00:00,310000,5709000,18.5,18.5,18.3,18.45,0,128
2020-02-14 00:00:00,95000,1753000,18.35,18.5,18.35,18.45,0,58
2020-02-17 00:00:00,128000,2361000,18.5,18.5,18.35,18.35,-0.1,76
2020-02-18 00:00:00,120000,2214000,18.4,18.5,18.35,18.45,0.1,60
2020-02-19 00:00:00,144000,2680000,18.5,18.8,18.45,18.55,0.1,91
2020-02-20 00:00:00,152000,2841000,18.75,18.75,18.6,18.6,0.05,86
2020-02-21 00:00:00,70000,1302000,18.6,18.65,18.5,18.6,0,44
2020-02-24 00:00:00,159000,2929000,18.5,18.55,18.35,18.35,-0.25,97
2020-02-25 00:00:00,211000,3813000,18.1,18.2,18,18.1,-0.25,120
2020-02-26 00:00:00,119000,2162000,18.1,18.35,18.1,18.15,0.05,76
2020-02-27 00:00:00,155000,2802000,18.1,18.2,18,18.05,-0.1,80
2020-03-02 00:00:00,208000,3727000,18,18,17.8,17.85,-0.2,105
2020-03-03 00:00:00,159000,2870000,17.95,18.2,17.9,18.1,0.25,86
2020-03-04 00:00:00,134000,2396000,18.05,18.05,17.8,17.9,-0.2,65
2020-03-05 00:00:00,63000,1140000,18.05,18.15,17.95,18.05,0.15,50
2020-03-06 00:00:00,150000,2693000,17.8,18.1,17.8,18,-0.05,69
2020-03-09 00:00:00,233000,4194000,17.9,18.15,17.85,17.9,-0.1,107
